"Screen reader users: There is 1 figure on this tab called Figure 5: Prevalent dialysis patients, by dialysis modality, Canada (excluding Quebec), 2012 to 2021 (percentage of total). The data table used to create this figure starts in cell A10 and ends in cell D20. The notes begin in cell A5 and the source begins in cell A8. A link back to the table of contents is in cell A2.",,,,,,,,,,,,,,,
Back to the Table of contents,,,,,,,,,,,,,,,
"Figure 5  Prevalent dialysis patients, by dialysis modality, Canada (excluding Quebec), 2012 to 2021 (percentage of total)",,,,,,,,,,,,,,,
The information can be found in the table below.,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,
HD: Hemodialysis; PD: Peritoneal dialysis.,,,,,,,,,,,,,,,
Data from Quebec was excluded from this figure because of significant under-reporting of dialysis data between 2011 and 2019.,,,,,,,,,,,,,,,
Source,,,,,,,,,,,,,,,
"Canadian Organ Replacement Register, 2022, Canadian Institute for Health Information.",,,,,,,,,,,,,,,
Year,HD institutional ,PD,HD home,,,,,,,,,,,,
2012,76.8,18.6,4.6,,,,,,,,,,,,
2013,76.4,18.7,5.0,,,,,,,,,,,,
2014,75.7,19.3,5.0,,,,,,,,,,,,
2015,75.5,19.6,4.8,,,,,,,,,,,,
2016,75.1,20.0,4.9,,,,,,,,,,,,
2017,74.8,20.5,4.7,,,,,,,,,,,,
2018,74.9,20.5,4.5,,,,,,,,,,,,
2019,75.0,20.4,4.7,,,,,,,,,,,,
2020,74.4,20.7,4.9,,,,,,,,,,,,
2021,74.5,20.6,5.0,,,,,,,,,,,,
End of worksheet,,,,,,,,,,,,,,,