"Screen reader users: There are 3 figures on this tab. Figure 6 is called Unadjusted 3-month and 1-, 3-, 5- and 10-year survival rates in dialysis patients, by age group, Canada (excluding Quebec), 2010 to 2021 (percentage). The data table used to create Figure 6 begins in cell A9 and ends at cell H15. The note begins in cell A5 and the source begins in cell A7. Figure 7 is called Unadjusted 3-month and 1-, 3-, 5- and 10-year survival rates in hemodialysis patients, by age group, Canada (excluding Quebec), 2010 to 2021 (percentage). The data table used to create Figure 7 begins in cell A22 and ends at cell H28. The note begins in cell A18 and source begins in cell A20. Figure 8 is called Unadjusted 3-month and 1-, 3-, 5- and 10-year survival rates in peritoneal dialysis patients, by age group, Canada (excluding Quebec), 2010 to 2021 (percentage). The data table used to create Figure 8 begins in cell A35 and ends at cell H41. The notes begin in cell A31 and source begins in cell A33. A link back to the table of contents is in cell A2.",,,,,,,,,,,,,,,,,,,
Back to the Table of contents,,,,,,,,,,,,,,,,,,,
"Figure 6  Unadjusted 3-month and 1-, 3-, 5- and 10-year survival rates in dialysis patients, by age group, Canada (excluding Quebec), 2010 to 2021 (percentage)",,,,,,,,,,,,,,,,,,,
The information can be found in the table below.,,,,,,,,,,,,,,,,,,,
Note,,,,,,,,,,,,,,,,,,,
Data from Quebec was excluded from this figure because of significant under-reporting of dialysis data between 2011 and 2019.,,,,,,,,,,,,,,,,,,,
Source,,,,,,,,,,,,,,,,,,,
"Canadian Organ Replacement Register, 2022, Canadian Institute for Health Information.",,,,,,,,,,,,,,,,,,,
Treatment,Age group,At start,3 months,1 year,3 years,5 years,10 years,,,,,,,,,,,,
All dialysis,Age 0–17,100,99.4,97.5,94.6,91.1,77.6,,,,,,,,,,,,
All dialysis,Age 18–44 ,100,98.2,94.6,85.5,73.2,45.4,,,,,,,,,,,,
All dialysis,Age 45–54 ,100,96.0,90.1,76.3,60.8,26.9,,,,,,,,,,,,
All dialysis,Age 55–64 ,100,94.5,87.0,68.5,50.1,14.6,,,,,,,,,,,,
All dialysis,Age 65–74 ,99.9,91.4,81.4,58.0,38.4,9.2,,,,,,,,,,,,
All dialysis,Age 75+ ,99.9,86.5,72.5,44.7,24.2,3.1,,,,,,,,,,,,
"Figure 7  Unadjusted 3-month and 1-, 3-, 5- and 10-year survival rates in hemodialysis patients, 
by age group, Canada (excluding Quebec), 2010 to 2021 (percentage)",,,,,,,,,,,,,,,,,,,
The information can be found in the table below.,,,,,,,,,,,,,,,,,,,
Note,,,,,,,,,,,,,,,,,,,
Data from Quebec was excluded from this figure because of significant under-reporting of dialysis data between 2011 and 2019.,,,,,,,,,,,,,,,,,,,
Source,,,,,,,,,,,,,,,,,,,
"Canadian Organ Replacement Register, 2022, Canadian Institute for Health Information.",,,,,,,,,,,,,,,,,,,
Treatment,Age group,At start,3 months,1 year,3 years,5 years,10 years,,,,,,,,,,,,
HD,Age 0–17,100,99.4,97.6,95.3,90.1,78.8,,,,,,,,,,,,
HD,Age 18–44 ,100,97.7,93.2,83.1,70.4,43.1,,,,,,,,,,,,
HD,Age 45–54 ,99.9,95.0,88.0,73.1,57.9,25.0,,,,,,,,,,,,
HD,Age 55–64 ,100,93.2,84.7,66.1,47.7,13.8,,,,,,,,,,,,
HD,Age 65–74 ,99.9,89.8,78.8,55.8,36.9,8.9,,,,,,,,,,,,
HD,Age 75+ ,99.9,84.7,70.3,43.8,23.9,3.1,,,,,,,,,,,,
"Figure 8  Unadjusted 3-month and 1-, 3-, 5- and 10-year survival rates in peritoneal dialysis patients, by age group, Canada (excluding Quebec), 2010 to 2021 (percentage)",,,,,,,,,,,,,,,,,,,
The information can be found in the table below.,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
Data from Quebec was excluded from this figure because of significant under-reporting of dialysis data between 2011 and 2019.,,,,,,,,,,,,,,,,,,,
Source,,,,,,,,,,,,,,,,,,,
"Canadian Organ Replacement Register, 2022, Canadian Institute for Health Information.",,,,,,,,,,,,,,,,,,,
Treatment,Age group,At start,3 months,1 year,3 years,5 years,10 years,,,,,,,,,,,,
PD,Age 0–17,100,99.3,97.4,93.7,93.7,73.8,,,,,,,,,,,,
PD,Age 18–44 ,100,99.7,98.5,92.4,81.8,53.5,,,,,,,,,,,,
PD,Age 45–54 ,100,99.0,96.5,86.0,69.9,33.6,,,,,,,,,,,,
PD,Age 55–64 ,100,98.4,94.4,76.4,58.1,17.2,,,,,,,,,,,,
PD,Age 65–74 ,100,97.6,90.9,65.9,43.9,10.3,,,,,,,,,,,,
PD,Age 75+ ,100,94.8,82.4,48.9,25.6,3.1,,,,,,,,,,,,
End of worksheet,,,,,,,,,,,,,,,,,,,