"Screen reader users: There is 1 table on this tab called Table 16B: Prevalent dialysis patients by type of treatment, Canada, 2020 to 2021 (number, rate per million population, percentage of total). It begins at cell A4 and ends at cell D18. The notes begin in cell A19 and the sources begin in cell A24. A link back to the table of contents is in cell A2.",,,,
Back to the Table of contents,,,,
"Table 16B  Prevalent dialysis patients by type of treatment, Canada, 2020 to 2021 (number, rate per million population, percentage of total)",,,,
Type of treatment,Unit of measure,2020,2021,
HD home,N,"1,281","1,307",
HD home,RPMP,33.7,34.2,
HD home,%,4.3,4.4,
HD institutional,N,"22,491","22,732",
HD institutional,RPMP,591.3,594.4,
HD institutional,%,76.2,76.2,
CAPD,N,"1,855","1,927",
CAPD,RPMP,48.8,50.4,
CAPD,%,6.3,6.5,
APD,N,"3,877","3,869",
APD,RPMP,101.9,101.2,
APD,%,13.1,13.0,
Total,N,"29,504","29,835",
Total,RPMP,775.7,780.1,
Notes,,,,
RPMP: Rate per million population.,,,,
HD: Hemodialysis; CAPD: Continuous ambulatory peritoneal dialysis; APD: Automated peritoneal dialysis. ,,,,
"Due to significant under-reporting of Quebec dialysis data between 2011 and 2019, data within this table is limited to the last 2 years. While dialysis data submission for Quebec recommenced in 2020, there still exists potential for under-reporting of prevalence in 2020â€“2021.",,,,
Percentages may not add up to 100 because of rounding.,,,,
Sources,,,,
"Canadian Organ Replacement Register, 2022, Canadian Institute for Health Information; Statistics Canada.",,,,
End of worksheet,,,,