"Screen reader users: There is 1 table on this tab called Table 34: Pediatric kidney transplant* by age group and primary renal diagnosis category, Canada (excluding Quebec), 2012 to 2021 (number). It begins at cell A4 and ends at cell G21. The notes begin in cell A22 and the source begins in cell A27. A link back to the table of contents is in cell A2.",,,,,,,,,,,
Back to the Table of contents,,,,,,,,,,,
"Table 34  Pediatric kidney transplant* by age group and primary renal diagnosis category, Canada (excluding Quebec), 2012 to 2021 (number)",,,,,,,,,,,
Primary renal diagnosis† category,"Age 0–4 
(N)",Age 0–4 (%),Age 5–10 (N),Age 5–10 (%),Age 11–17 (N),Age 11–17 (%),,,,,
Alport syndrome,0,0.0,<5,...,<5,...,,,,,
Cystinosis,0,0.0,<5,...,7,3.1,,,,,
Dysplasia/hypoplasia,13,13.5,11,11.3,16,7.2,,,,,
Posterior urethral valves,9,9.4,9,9.3,6,2.7,,,,,
Obstructive uropathy,0,0.0,<5,...,6,2.7,,,,,
Vesicoureteric reflux,<5,...,<5,...,<5,...,,,,,
Polycystic kidneys,5,5.2,0,0.0,<5,...,,,,,
Nephronophthisis,<5,...,<5,...,9,4.0,,,,,
Other congenital/hereditary,7,7.3,<5,...,6,2.7,,,,,
Other pyelonephritis,0,0.0,<5,...,<5,...,,,,,
Glomerulonephritis,8,8.3,7,7.2,25,11.2,,,,,
Focal sclerosis,<5,...,12,12.4,9,4.0,,,,,
Autoimmune disease,0,0.0,<5,...,6,2.7,,,,,
Hemolytic uremic syndrome,<5,...,<5,...,5,2.2,,,,,
Other†,10,10.4,7,7.2,30,13.5,,,,,
Unknown,39,40.6,36,37.1,87,39.0,,,,,
Total,96,100,97,100,223,100,,,,,
Notes,,,,,,,,,,,
* Based on patients with first grafts. Both diagnoses provided at incident dialysis treatment and subsequent diagnoses at time of kidney transplant are included in this table.,,,,,,,,,,,
"† For a list of all primary diagnoses captured by CORR, see Canadian Organ Replacement Register — Methodology Notes and Supplementary Information, 2012 to 2021. ",,,,,,,,,,,
"Cell values <5 are suppressed in accordance with CIHI's privacy policy. Percentages are also suppressed (indicated by ""…"") to ensure confidentiality.",,,,,,,,,,,
Data from Quebec was excluded from this table because of significant under-reporting of transplant data between 2012 and 2021. ,,,,,,,,,,,
Source,,,,,,,,,,,
"Canadian Organ Replacement Register, 2022, Canadian Institute for Health Information.",,,,,,,,,,,
End of worksheet,,,,,,,,,,,