"Screen reader users: There is 1 table on this tab called Table 35: Unadjusted 3-month and 1-, 3-, 5- and 10-year graft survival rates in pediatric kidney transplant recipients by type of donor, first graft, Canada (excluding Quebec), 2010 to 2021 (percentage). It begins at cell A4 and ends at cell N18. The note begins in cell A19 and the source begins in cell A22. A link back to the table of contents is in cell A2.",,,,,,,,,,,,,,
Back to the Table of contents,,,,,,,,,,,,,,
"Table 35  Unadjusted 3-month and 1-, 3-, 5- and 10-year graft survival rates in pediatric kidney transplant recipients by type of donor, first graft, Canada (excluding Quebec), 2010 to 2021 (percentage)",,,,,,,,,,,,,,
Donor type,Time point,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
Deceased donor,N,23,23,27,15,22,12,21,28,27,28,18,28,
Deceased donor,At start,100,100,100,93.3,100,100,100,100,96.3,100,100,100,
Deceased donor,3 months,100,95.7,92.6,93.3,100,100,100,96.4,92.6,100,100,96.4,
Deceased donor,1 year,100,95.7,92.6,93.3,100,100,100,96.4,92.6,100,100,—,
Deceased donor,3 years,91.3,91.3,92.6,93.3,100,100,100,96.4,92.6,—,—,—,
Deceased donor,5 years,87.0,91.3,88.9,93.3,95.5,100,100,—,—,—,—,—,
Deceased donor,10 years,65.2,69.6,—,—,—,—,—,—,—,—,—,—,
Living donor,N,24,13,16,23,18,15,21,18,17,21,15,26,
Living donor,At start,100,100,100,100,100, 100,95.2,100,94.1,100,100,100,
Living donor,3 months,95.8,100,100,95.7,94.4, 100,90.5,94.4,94.1,90.5,100,100,
Living donor,1 year,95.8,100,100,95.7,94.4, 100,90.5,94.4,94.1,90.5,100,—,
Living donor,3 years,95.8,100,93.8,95.7,94.4,93.3,90.5,94.4,88.2,—,—,—,
Living donor,5 years,91.7,92.3,93.8,95.7,94.4,93.3,90.5,—,—,—,—,—,
Living donor,10 years,75.0,84.6,—,—,—,—,—,—,—,—,—,—,
Notes,,,,,,,,,,,,,,
— Not applicable.,,,,,,,,,,,,,,
Data from Quebec was excluded from this table because of significant under-reporting of transplant data between 2012 and 2021. ,,,,,,,,,,,,,,
Source,,,,,,,,,,,,,,
"Canadian Organ Replacement Register, 2022, Canadian Institute for Health Information.",,,,,,,,,,,,,,
End of worksheet,,,,,,,,,,,,,,